filename,category,year,month,day,original source,page number,author first name,author last name,database,troop 53,troop 253,pack 253,ship 153,archive.org url,title,tags
chatham_courier_1976_feb_26.pdf,newspapers,1976,2,26,The Chatham Courier,B8,,,fultonhistory.com,X,,X,,,Highly Rated Cub Moves Up Ladder in Scouting,"steve leonard,ronnie shaut,mark hoyt,christopher canonica,kevin golden,danny ray,shaun wilkinson,bobby cleary,david wagner,peter toop,mathew becker,joel potts,matthew stinner,brian leonard,chucky warland,danny ray,roger smith,david barden,joey bamberger,peter illenberg,jimmy blaisdell,michael bush,micharel cartwright,paul heilmann,stephen amodeo,jason shaffer,mike dikant,ken wood,george collins"
chatham_courier_1977_feb_3_t253_spagetti_dinner.pdf,newspapers,1977,2,3,The Chatham Courier,A6,,,fultonhistory.com,,X,,,,Scout chefs will prepare pasta,"spaghetti dinner,south schodack fire hall"
chatham_courier_1978_feb_16_violet_sales.pdf,newspapers,1978,2,16,The Chatham Courier,A10,,,fultonhistory.com,X,,,,,Scout Troop Plans Second Vilets Sale,"michael corey,violet sale"
chatham_courier_1979_feb_15_t253_spagettidinner.pdf,newspapers,1979,2,13,The Chatham Courier,A6,,,fultonhistory.com,,X,,,,Scouts will serve spagehetti dinner,"spaghetti dinner,south schodack fire hall"
chatham_courier_1979_mar_5_newspaper_drive.pdf,newspapers,1979,3,5,The Chatham Courier,A8,,,fultonhistory.com,,X,,,,News of Castleton,paper drive
chatham_courier_1979_sep_13_scout_night.pdf,newspapers,1979,9,13,The Chatham Courier,A6,,,fultonhistory.com,,X,X,,,Almanac,"scout night,south schodack fire house"
chatham_courier_1979_sep_20_scout_night.pdf,newspapers,1979,9,20,The Chatham Courier,A6,,,fultonhistory.com,,X,X,,,Almanac,"scout night,south schodack fire house"
chatham_courier_1979_oct_25_t253_recycle.pdf,newspapers,1979,10,25,The Chatham Courier,A9,,,fultonhistory.com,,X,,,,Scouts Collected 7 Tons of Paper,"paper drive,fort orange paper company,timber vlae,methodist farm,crooked lake,new lebanon"
chatham_courier_1980_feb_7_t253_newspaper_drive.pdf,newspapers,1980,2,7,The Chatham Courier,A3,,,fultonhistory.com,,X,,,,Scout Troop 253 Sets Paper Drive Saturday,"paper drive,fort orange paper company,scout show,governor clinton council,freeze out,rotary,uss massachusetts,scott granan,steve stockman,g hoyt,john hudson,steve leonard,ken wood,brian leonard, david quinn,frank prevratil jr,david distin,make cannone,mike turner,scott slattery,mark turner,ron byron,anthony burnmetto,frank prevratil,jim granan,toby distin,wayne distin,klondike derby"
chatham_courier_1980_Jun_5_scott_simpson_eagle.pdf,newspapers,1980,6,5,The Chatham Courier,A11,,,fultonhistory.com,,X,,,https://archive.org/details/chatham_courier_1980_Jun_5_scott_simpson_eagle,Scott Simpson Presented Scouting's Highest Award,"scott simpson,eagle,eagle scout,maple hill high school,south schodack fire hall"
chatham_courier_1981_nov_26_t253_new_scoutmaster.pdf,newspapers,1981,11,26,The Chatham Courier,A11,,,fultonhistory.com,,X,,,,Boy Scouts set date of Paper Drive,"christmas tree sale,paper drive,john gorman,mike sano,jerry hoyt,jerry bohley"
chatham_courier_1981_nov_26_t253_newspaper_drive.pdf,newspapers,1981,11,26,The Chatham Courier,A5,,,fultonhistory.com,,X,,,,Almanac,paper drive
chatham_courier_1981_dec_3_t253_tree_sales.pdf,newspapers,1981,12,3,The Chatham Courier,A11,,,fultonhistory.com,,X,,,,Tree Sale Schedule By Scouts,christmas tree sale
chatham_courier_1981_dec_17_t253_tree_sales.pdf,newspapers,1981,12,17,The Chatham Courier,A5,,,fultonhistory.com,,X,,,,Almanac,christmas tree sale
chatham_courier_1982_mar_11_t253_spagetti_dinner.pdf,newspapers,1982,3,11,The Chatham Courier,B8,,,fultonhistory.com,,X,,,,Scouts will serve spagehetti dinner,"spagetti dinner,south schodack fire house"
chatham_courier_1983_mar_10_t253_spagettidinner.pdf,newspapers,1983,3,10,The Chatham Courier,A5,,,fultonhistory.com,,X,,,,Activities,"spagetti dinner,south schodack fire house"
chatham_courier_1984_feb_23_t253_spagetti_dinner.pdf,newspapers,1984,2,23,The Chatham Courier,A14,,,fultonhistory.com,,X,,,,Scouts Sponsor Spaghetti Dinner,"spagetti dinner,south schodack fire house"
chatham_courier_1984_mar_1_spagetti_dinner.pdf,newspapers,1984,3,1,The Courier,B16,,,fultonhistory.com,,X,,,,Schodack Scouts plan spaghetti meal,"spagetti dinner, south schodack fire house"
chatham_courier_1984_mar_6_t253_spagetti_dinner.pdf,newspapers,1984,3,6,The Courier,A5,,,fultonhistory.com,,X,,,,Arts & Entertainment,"spagetti dinner, south schodack fire house"
chatham_courier_1984_nov_29_t253_spagetti_dinner.pdf,newspapers,1984,11,29,The Courier,B11,,,fultonhistory.com,,X,,,,Scouts Hold Spaghetti Dinner,"spagetti dinner, south schodack fire house"
chatham_courier_1985_mar_7_t253_spagetti_dinner.pdf,newspapers,1985,3,7,The Courier,A5,,,fultonhistory.com,,X,,,,Almanac,"spagetti dinner, south schodack fire house"
chatham_courier_1985_mar_28_cub_badges.pdf,newspapers,1985,3,28,The Courier,A10,,,fultonhistory.com,,,X,,,Scouts Earn Wolf Badges,"den 4,larry bullinger,michael cahill,sean hurley,michael mcmullen,ryan mull,daniel meister,daniel renaud"
chatham_courier_1985_nov_14_t253_scoutmaster_needed.pdf,newspapers,1985,11,14,The Chatham Courier,A10,,,fultonhistory.com,,X,,,,Scoutmaster Needed,"ken stinner,jerry bohley"
